Date,Predicted Close
2024-01-01,186.31792
2024-01-02,184.97203
2024-01-03,182.92052
2024-01-04,180.56216
2024-01-05,178.12396
2024-01-08,175.71657
2024-01-09,173.38654
2024-01-10,171.14986
2024-01-11,169.00984
2024-01-12,166.9656
2024-01-15,165.01537
2024-01-16,163.15688
2024-01-17,161.38788
2024-01-18,159.70563
2024-01-19,158.1069
2024-01-22,156.58801
2024-01-23,155.14494
2024-01-24,153.77325
2024-01-25,152.46843
2024-01-26,151.22606
2024-01-29,150.04158
2024-01-30,148.91078
2024-01-31,147.8295
2024-02-01,146.79387
2024-02-02,145.8001
2024-02-05,144.84483
2024-02-06,143.9249
2024-02-07,143.03735
2024-02-08,142.17952
2024-02-09,141.34888
