Date,Close,High,Low,Open,Volume,MA7,MA30,Return,Volatility,Momentum
13-02-2015,28.34331512,28.38792149,28.0243747,28.38792149,217088800,27.37056214,25.41559391,0.004902837,0.021469926,1.81772995
17-02-2015,28.51059341,28.74478108,28.30763054,28.43476055,252609600,27.62195478,25.55632763,0.00590186,0.017447006,1.80882072
18-02-2015,28.70909119,28.72247275,28.42583553,28.46598193,179566800,27.93388421,25.72648621,0.006962247,0.011772805,1.4943409
19-02-2015,28.64887047,28.77823129,28.62210733,28.65556125,149449600,28.21204104,25.89456342,-0.002097618,0.010020888,0.79623413
20-02-2015,28.88305473,28.88305473,28.55965441,28.68678269,195793600,28.45037024,26.05941264,0.008174293,0.008102639,0.67802429
23-02-2015,29.66368103,29.66368103,28.91874429,28.9990371,283896400,28.70909091,26.21962509,0.027027138,0.009585946,1.32036591
24-02-2015,29.47857285,29.79751507,29.25553756,29.65031097,276912400,28.89102554,26.3727787,-0.00624023,0.010152103,0.96797944
25-02-2015,28.72470284,29.35143463,28.58196044,29.34251131,298846800,28.9455095,26.5212417,-0.025573491,0.013566217,0.01561165
26-02-2015,29.08825111,29.18861628,28.23848752,28.72470264,365150000,29.02803203,26.67463983,0.012656294,0.013690987,0.43938064
27-02-2015,28.65110588,29.12171033,28.60203786,28.99457862,248059200,29.01974842,26.81657677,-0.01502824,0.014328674,-0.23194885
02-03-2015,28.79161263,29.05702505,28.61541632,28.82729907,192386800,29.04014015,26.98526522,0.00490406,0.014326632,-0.8720684
03-03-2015,28.85183144,28.88751788,28.5685758,28.76261872,151265200,29.03567968,27.16210702,0.00209154,0.013785993,-0.62674141
04-03-2015,28.66894341,28.89644026,28.61987879,28.79384598,126665200,28.89357431,27.31263631,-0.006338871,0.012867439,-0.05575943
05-03-2015,28.19387817,28.71577968,28.04890497,28.67786411,226068400,28.7100465,27.44118366,-0.016570727,0.013391024,-0.89437294
06-03-2015,28.23625374,28.85406044,28.16042259,28.63771605,291368400,28.64026805,27.55003834,0.001503006,0.013327022,-0.41485214
09-03-2015,28.35669136,28.89866859,27.8927778,28.53958013,354114000,28.53575952,27.65861257,0.004265354,0.013276582,-0.43492127
10-03-2015,27.77011299,28.37453817,27.6117582,28.19388021,275426400,28.40990339,27.74674568,-0.020685713,0.014140661,-1.08171845
11-03-2015,27.26381874,27.82809745,27.23482478,27.82363749,275756000,28.19164712,27.8473273,-0.018231624,0.014768213,-1.40512467
12-03-2015,27.75672913,27.85709598,27.12776995,27.27943395,193450800,28.03520393,27.91864866,0.018079286,0.015581848,-0.43714904
13-03-2015,27.56492043,27.96861531,27.33965609,27.7455801,207309200,27.87748637,27.95699139,-0.00691035,0.013027837,-0.67133331
16-03-2015,27.86824417,27.86824417,27.4043323,27.6295966,143497200,27.83096722,28.01833013,0.011003977,0.013713809,-0.48844719
17-03-2015,28.33438683,28.3968364,28.02436809,28.08012688,204092400,27.84498624,28.08432134,0.016726661,0.013226505,0.56427384
18-03-2015,28.65333366,28.8072285,28.18496006,28.32547163,261083600,27.88736371,28.16079572,0.011256528,0.013121054,1.38951492
19-03-2015,28.43698883,28.82730044,28.41468565,28.71578284,183238000,27.98263168,28.22332014,-0.007550424,0.012649597,0.6802597
20-03-2015,28.08013153,28.63771782,27.91508596,28.6042639,274780400,28.0992478,28.26762969,-0.012549054,0.012936921,0.5152111
23-03-2015,28.37231064,28.51505305,28.21841579,28.35223829,150838800,28.18718801,28.3291872,0.01040519,0.013310161,0.50406647
24-03-2015,28.25633049,28.55742597,28.22733482,28.3767697,131369200,28.28596088,28.3810058,-0.004087794,0.013255674,-0.07805634
25-03-2015,27.51807594,28.2853174,27.51807594,28.22286783,206620800,28.23593685,28.39111665,-0.02612705,0.014324693,-1.13525772
26-03-2015,27.70989227,27.85263466,27.34411469,27.37980114,190291600,28.14672334,28.38635852,0.006970557,0.014490425,-0.72709656
27-03-2015,27.48908424,27.81248455,27.4132531,27.7834906,158184800,27.98040199,28.36249364,-0.007968563,0.01450142,-0.59104729
30-03-2015,28.1849575,28.19164829,27.65636349,27.66751593,188398800,27.94439752,28.35721506,0.02531453,0.0151671,-0.18735314
31-03-2015,27.75226784,28.21171977,27.73665544,28.12250536,168362400,27.89755985,28.33193754,-0.015351794,0.014900971,-0.50406265
01-04-2015,27.71212196,27.90616319,27.45563116,27.83925195,162485600,27.80324718,28.29870523,-0.00144658,0.01410972,0.19404602
02-04-2015,27.95076942,28.00429739,27.69874028,27.88608902,128880400,27.7595956,28.27543519,0.008611663,0.014136667,0.24087715
06-04-2015,28.40353012,28.43921657,27.72996462,27.76118941,148776000,27.88608905,28.25945104,0.016198506,0.014480972,0.91444588
07-04-2015,28.10466385,28.57526652,28.09797307,28.46821058,140049200,27.94248499,28.2074838,-0.010522152,0.014096917,-0.08029365
08-04-2015,28.01322365,28.19165251,27.87271207,28.06898245,149316800,28.01736205,28.15863883,-0.00325356,0.013694597,0.26095581
09-04-2015,28.22733498,28.23179663,27.80356945,28.06898018,129936000,28.02341597,28.1420599,0.007643224,0.013782155,0.51521302
10-04-2015,28.34777069,28.3723047,27.93738678,28.0912799,160752000,28.10848781,28.11737722,0.004266634,0.013372342,0.39700127
13-04-2015,28.29201508,28.6756376,28.2384871,28.63102783,145460400,28.19132968,28.10540752,-0.001966843,0.013091833,-0.11151504
14-04-2015,28.16934395,28.3901483,28.08236036,28.32546789,102098400,28.22255462,28.08466524,-0.004335892,0.013097779,0.0646801
15-04-2015,28.27640724,28.35446923,28.10467086,28.19388529,115881600,28.20439421,28.06548443,0.003800702,0.010764725,0.26318359
16-04-2015,28.14035034,28.34777314,28.12696877,28.16488435,113476000,28.20949228,28.04786466,-0.004811676,0.010806483,-0.08698464
17-04-2015,27.82363701,28.13365575,27.75895661,28.00206582,207828000,28.18240847,28.03552329,-0.011254776,0.011052799,-0.52413368
20-04-2015,28.45928764,28.57526518,27.91731211,28.00652652,188217200,28.21554456,28.04295775,0.022845706,0.010645869,0.16727256
21-04-2015,28.30540466,28.59311864,28.25187498,28.57081716,129740400,28.20949227,28.04124819,-0.005407127,0.009786319,0.13606071
22-04-2015,28.68678284,28.74254163,28.17380296,28.32323612,150618000,28.26588767,28.07180386,0.013473688,0.010247588,0.4103756
23-04-2015,28.92097092,29.0882473,28.57972737,28.61541381,183083600,28.37326295,28.12704226,0.008163623,0.010227783,0.78062058
24-04-2015,29.05702591,29.13508959,28.82283827,29.1038648,178103600,28.4847799,28.17038549,0.004704371,0.009476322,1.2333889
27-04-2015,29.5856266,29.69268598,29.2510737,29.50979543,387816800,28.69124794,28.23774236,0.018191837,0.009738815,1.12633896
28-04-2015,29.1194725,30.00715157,28.89866985,29.98931175,475696000,28.8763673,28.27944997,-0.0157561,0.010927966,0.81406784
29-04-2015,28.69124985,29.34920305,28.61541869,29.03026433,253544400,28.90950475,28.29134541,-0.014705715,0.011769985,0.00446701
30-04-2015,27.91285515,28.69124751,27.78572515,28.69124751,332781600,28.85342625,28.26666279,-0.027130038,0.013938135,-1.00811577
01-05-2015,28.76038933,29.02357264,27.94631218,28.12473933,234050400,28.86394147,28.2774428,0.030363579,0.016253943,-0.29663658
04-05-2015,28.70462799,29.12170611,28.60649196,28.88305682,203953200,28.83303533,28.29825935,-0.001938824,0.016202599,-0.88099861
05-05-2015,28.057827,28.64886888,28.05336534,28.58195764,197085600,28.69029263,28.28777657,-0.022532986,0.017395489,-1.0616455
06-05-2015,27.88163567,28.2697165,27.51362718,28.22733926,288564000,28.44686536,28.27528674,-0.006279579,0.017428428,-0.80961418
07-05-2015,28.05408478,28.2377375,27.77636469,27.9443398,175763600,28.29466711,28.2931537,0.006185043,0.017224099,0.14122963
08-05-2015,28.58264542,28.58264542,28.24445505,28.37211606,222201600,28.27915219,28.32224547,0.018840773,0.016857845,-0.17774391
11-05-2015,28.29148293,28.56920125,28.1369453,28.53112731,168143200,28.33324187,28.34899209,-0.010186688,0.017032875,-0.41314506
12-05-2015,28.19070625,28.41691153,27.95554039,28.13023425,192640000,28.25185858,28.34918372,-0.003562085,0.016607119,0.13287925
13-05-2015,28.22205734,28.48633824,28.19070213,28.25341256,138776800,28.18291991,28.36484337,0.001112107,0.016409743,0.34042167
14-05-2015,28.88052177,28.88052177,28.47962266,28.53561436,180814000,28.30044774,28.40379003,0.023331553,0.017668904,0.82643699
15-05-2015,28.84020996,29.00146635,28.71478908,28.90740069,152832000,28.43738692,28.43343805,-0.001395813,0.016849313,0.25756454
18-05-2015,29.15824318,29.27694533,28.74838346,28.75286375,203531600,28.59512384,28.45859515,0.011027424,0.016648653,0.86676025
19-05-2015,29.13136864,29.31278123,29.03506112,29.27022698,178532800,28.67351287,28.49281864,-0.000921679,0.016096269,0.94066239
20-05-2015,29.1291275,29.33517659,28.9678711,29.11569004,145819600,28.79317638,28.53001544,-7.69E-05,0.01390765,0.90707016
21-05-2015,29.42700195,29.48075522,29.07761424,29.13136751,158921600,28.96979005,28.57000434,0.010226,0.011749418,0.54648018
22-05-2015,29.68456078,29.78086829,29.42923874,29.47403484,182384000,29.17871911,28.61456401,0.008752466,0.011841658,0.84435082
26-05-2015,29.03058052,29.76743333,28.9185971,29.69800416,282790400,29.20015608,28.63918285,-0.02203099,0.011760621,-0.12766266
27-05-2015,29.57257843,29.62185141,29.12688663,29.19183551,183332800,29.30478014,28.68595734,0.018669896,0.012209403,0.44120979
28-05-2015,29.5143528,29.55242675,29.36205697,29.53227056,122933200,29.35565295,28.72722219,-0.001968906,0.012305827,0.3852253
29-05-2015,29.17840576,29.44044661,29.09329725,29.39117362,203538000,29.36237253,28.76182404,-0.011382497,0.012094819,-0.24859619
01-06-2015,29.2366333,29.4270065,29.12689172,29.17840315,128451200,29.37773051,28.80892391,0.00199557,0.011614756,-0.44792748
02-06-2015,29.10672951,29.2635056,28.96339088,29.08433146,134670400,29.3319773,28.83050531,-0.004443186,0.011651948,0.07614899
03-06-2015,29.14255905,29.32621347,29.09328608,29.26350304,123934000,29.25454848,28.85841045,0.001230971,0.01165102,-0.43001938
04-06-2015,28.97234917,29.24558897,28.87156478,29.02162214,153800400,29.24622972,28.86792933,-0.005840595,0.010119477,-0.54200363
05-06-2015,28.81333351,29.04626095,28.74838463,29.0037067,142507200,29.13776616,28.86434142,-0.005488532,0.010229953,-0.36507225
08-06-2015,28.62295914,28.93875316,28.40571106,28.86932058,210699200,29.01042421,28.84987253,-0.006607162,0.009843704,-0.61367416
